Precinct 2020,Registered Voters Ballots Cast Voter Turnout 2020,Ballots Cast 2020,Voter 2020,Precinct 2016,Registered Voters Ballots Cast Voter Turnout 2016,Ballots Cast 2016,Voter 2016
PITTSBURGH WARD 26 DIST 4,400,258,64.50%,PITTSBURGH WARD 26 DIST 4,436,259,59.40%
PITTSBURGH WARD 26 DIST 5,479,236,49.27%,PITTSBURGH WARD 26 DIST 5,494,266,53.85%
PITTSBURGH WARD 26 DIST 6,368,171,46.47%,PITTSBURGH WARD 26 DIST 6,406,236,58.13%
PITTSBURGH WARD 26 DIST 7,296,186,62.84%,PITTSBURGH WARD 26 DIST 7,328,202,61.59%
PITTSBURGH WARD 26 DIST 8,601,268,44.59%,PITTSBURGH WARD 26 DIST 8,642,289,45.02%
PITTSBURGH WARD 26 DIST 9,355,265,74.65%,PITTSBURGH WARD 26 DIST 9,357,264,73.95%
PITTSBURGH WARD 26 DIST 10,673,473,70.28%,PITTSBURGH WRD 26 DIST 10,662,442,66.77%
PITTSBURGH WARD 26 DIST 11,688,512,74.42%,PITTSBURGH WRD 26 DIST 11,747,494,66.13%
PITTSBURGH WARD 26 DIST 12,479,313,65.34%,PITTSBURGH WRD 26 DIST 12,519,337,64.93%
PITTSBURGH WARD 26 DIST 13,596,434,72.82%,PITTSBURGH WRD 26 DIST 13,568,381,67.08%
PITTSBURGH WARD 26 DIST 14,591,498,84.26%,PITTSBURGH WRD 26 DIST 14,604,467,77.32%
PITTSBURGH WARD 26 DIST 15,501,398,79.44%,PITTSBURGH WRD 26 DIST 15,502,368,73.31%
PITTSBURGH WARD 26 DIST 16,725,527,72.69%,PITTSBURGH WRD 26 DIST 16,710,472,66.48%
PITTSBURGH WARD 26 DIST 17,187,129,68.98%,PITTSBURGH WRD 26 DIST 17,212,128,60.38%
PITTSBURGH WARD 27 DIST 1,811,662,81.63%,PITTSBURGH WARD 27 DIST 1,776,581,74.87%
PITTSBURGH WARD 27 DIST 2,668,557,83.38%,PITTSBURGH WARD 27 DIST 2,671,496,73.92%
PITTSBURGH WARD 27 DIST 3,567,455,80.25%,PITTSBURGH WARD 27 DIST 3,579,411,70.98%
PITTSBURGH WARD 27 DIST 4,795,574,72.20%,PITTSBURGH WARD 27 DIST 4,743,505,67.97%
PITTSBURGH WARD 27 DIST 5,751,583,77.63%,PITTSBURGH WARD 27 DIST 5,708,508,71.75%
PITTSBURGH WARD 27 DIST 6,789,506,64.13%,PITTSBURGH WARD 27 DIST 6,756,473,62.57%
PITTSBURGH WARD 27 DIST 7,623,476,76.40%,PITTSBURGH WARD 27 DIST 7,610,446,73.11%
PITTSBURGH WARD 27 DIST 8,599,444,74.12%,PITTSBURGH WARD 27 DIST 8,598,426,71.24%
PITTSBURGH WARD 27 DIST 9,605,380,62.81%,PITTSBURGH WARD 27 DIST 9,605,358,59.17%
PITTSBURGH WARD 27 DIST 10,619,398,64.30%,PITTSBURGH WRD 27 DIST 10,639,393,61.50%
PITTSBURGH WARD 27 DIST 11,631,395,62.60%,PITTSBURGH WRD 27 DIST 11,641,400,62.40%
PITTSBURGH WARD 27 DIST 12,575,338,58.78%,PITTSBURGH WRD 27 DIST 12,545,321,58.90%
PITTSBURGH WARD 27 DIST 13,559,392,70.13%,PITTSBURGH WRD 27 DIST 13,568,356,62.68%
PITTSBURGH WARD 28 DIST 1,680,501,73.68%,PITTSBURGH WARD 28 DIST 1,685,478,69.78%
PITTSBURGH WARD 28 DIST 2,565,380,67.26%,PITTSBURGH WARD 28 DIST 2,537,343,63.87%
PITTSBURGH WARD 28 DIST 3,894,728,81.43%,PITTSBURGH WARD 28 DIST 3,851,637,74.85%
PITTSBURGH WARD 28 DIST 4,659,529,80.27%,PITTSBURGH WARD 28 DIST 4,655,481,73.44%
PITTSBURGH WARD 28 DIST 5,691,525,75.98%,PITTSBURGH WARD 28 DIST 5,672,481,71.58%
PITTSBURGH WARD 28 DIST 6,570,454,79.65%,PITTSBURGH WARD 28 DIST 6,589,420,71.31%
PITTSBURGH WARD 28 DIST 7,648,375,57.87%,PITTSBURGH WARD 28 DIST 7,681,362,53.16%
PITTSBURGH WARD 28 DIST 8,868,697,80.30%,PITTSBURGH WARD 28 DIST 8,846,635,75.06%
PITTSBURGH WARD 28 DIST 9,632,471,74.53%,PITTSBURGH WARD 28 DIST 9,607,407,67.05%
PITTSBURGH WARD 28 DIST 10,546,345,63.19%,PITTSBURGH WRD 28 DIST 10,517,318,61.51%
PITTSBURGH WARD 28 DIST 11,130,84,64.62%,PITTSBURGH WRD 28 DIST 11,144,85,59.03%
PITTSBURGH WARD 29 DIST 1,611,429,70.21%,PITTSBURGH WARD 29 DIST 1,605,393,64.96%
PITTSBURGH WARD 29 DIST 2,543,401,73.85%,PITTSBURGH WARD 29 DIST 2,542,383,70.66%
PITTSBURGH WARD 29 DIST 3,496,355,71.57%,PITTSBURGH WARD 29 DIST 3,484,314,64.88%
PITTSBURGH WARD 29 DIST 4,530,383,72.26%,PITTSBURGH WARD 29 DIST 4,550,352,64.00%
PITTSBURGH WARD 29 DIST 5,564,383,67.91%,PITTSBURGH WARD 29 DIST 5,556,344,61.87%
PITTSBURGH WARD 29 DIST 6,647,487,75.27%,PITTSBURGH WARD 29 DIST 6,593,402,67.79%
PITTSBURGH WARD 29 DIST 7,660,513,77.73%,PITTSBURGH WARD 29 DIST 7,603,419,69.49%
PITTSBURGH WARD 29 DIST 8,547,361,66.00%,PITTSBURGH WARD 29 DIST 8,534,329,61.61%
PITTSBURGH WARD 29 DIST 9,466,288,61.80%,PITTSBURGH WARD 29 DIST 9,464,276,59.48%
PITTSBURGH WARD 29 DIST 10,564,429,76.06%,PITTSBURGH WRD 29 DIST 10,523,363,69.41%
PITTSBURGH WARD 29 DIST 11,647,475,73.42%,PITTSBURGH WRD 29 DIST 11,631,428,67.83%
PITTSBURGH WARD 29 DIST 12,577,390,67.59%,PITTSBURGH WRD 29 DIST 12,549,339,61.75%
PITTSBURGH WARD 30 DIST 1,420,239,56.90%,PITTSBURGH WARD 30 DIST 1,416,250,60.10%
PITTSBURGH WARD 30 DIST 2,391,251,64.19%,PITTSBURGH WARD 30 DIST 2,415,286,68.92%
PITTSBURGH WARD 30 DIST 3,344,160,46.51%,PITTSBURGH WARD 30 DIST 3,402,222,55.22%
PITTSBURGH WARD 30 DIST 4,591,364,61.59%,PITTSBURGH WARD 30 DIST 4,625,382,61.12%
PITTSBURGH WARD 30 DIST 5,671,421,62.74%,PITTSBURGH WARD 30 DIST 5,678,422,62.24%
PITTSBURGH WARD 31 DIST 1,226,152,67.26%,PITTSBURGH WARD 31 DIST 1,237,152,64.14%
PITTSBURGH WARD 31 DIST 2,449,391,87.08%,PITTSBURGH WARD 31 DIST 2,411,330,80.29%
PITTSBURGH WARD 31 DIST 3,561,454,80.93%,PITTSBURGH WARD 31 DIST 3,575,420,73.04%
PITTSBURGH WARD 31 DIST 4,566,443,78.27%,PITTSBURGH WARD 31 DIST 4,566,403,71.20%
PITTSBURGH WARD 31 DIST 5,709,593,83.64%,PITTSBURGH WARD 31 DIST 5,683,530,77.60%
PITTSBURGH WARD 31 DIST 6,551,444,80.58%,PITTSBURGH WARD 31 DIST 6,555,411,74.05%
PITTSBURGH WARD 31 DIST 7,138,113,81.88%,PITTSBURGH WARD 31 DIST 7,142,96,67.61%
PITTSBURGH WARD 32 DIST 1,514,390,75.88%,PITTSBURGH WARD 32 DIST 1,507,351,69.23%
PITTSBURGH WARD 32 DIST 2,667,490,73.46%,PITTSBURGH WARD 32 DIST 2,646,440,68.11%
PITTSBURGH WARD 32 DIST 3,543,425,78.27%,PITTSBURGH WARD 32 DIST 3,518,363,70.08%
PITTSBURGH WARD 32 DIST 4,352,257,73.01%,PITTSBURGH WARD 32 DIST 4,364,238,65.38%
PITTSBURGH WARD 32 DIST 5,584,481,82.36%,PITTSBURGH WARD 32 DIST 5,557,417,74.87%
PITTSBURGH WARD 32 DIST 6,620,480,77.42%,PITTSBURGH WARD 32 DIST 6,625,455,72.80%
PITTSBURGH WARD 32 DIST 7,578,456,78.89%,PITTSBURGH WARD 32 DIST 7,518,375,72.39%
PITTSBURGH WARD 32 DIST 8,660,562,85.15%,PITTSBURGH WARD 32 DIST 8,654,525,80.28%
PLEASANT HL DIST 1,748,603,80.61%,PLEASANT HL DIST 1,710,503,70.85%
PLEASANT HL DIST 2,561,484,86.27%,PLEASANT HL DIST 2,538,447,83.09%
PLEASANT HL DIST 3,583,505,86.62%,PLEASANT HL DIST 3,558,457,81.90%
PLEASANT HL DIST 4,555,469,84.50%,PLEASANT HL DIST 4,514,385,74.90%
PLEASANT HL DIST 5,715,558,78.04%,PLEASANT HL DIST 5,759,503,66.27%
PLEASANT HL DIST 6,964,839,87.03%,PLEASANT HL DIST 6,925,743,80.32%
PLEASANT HL DIST 7,532,445,83.65%,PLEASANT HL DIST 7,509,415,81.53%
PLEASANT HL DIST 8,526,454,86.31%,PLEASANT HL DIST 8,519,418,80.54%
PLEASANT HL DIST 9,659,586,88.92%,PLEASANT HL DIST 9,638,528,82.76%
PLEASANT HL DIST 10,523,443,84.70%,PLEASANT HL DIST 10,542,438,80.81%
PLUM DIST 1,1828,1529,83.64%,PLUM DIST 1,1771,1346,76.00%
PLUM DIST 2,607,509,83.86%,PLUM DIST 2,581,463,79.69%
PLUM DIST 3,986,805,81.64%,PLUM DIST 3,969,739,76.26%
PLUM DIST 4,863,734,85.05%,PLUM DIST 4,823,641,77.89%
PLUM DIST 5,891,737,82.72%,PLUM DIST 5,897,701,78.15%
PLUM DIST 6,1264,1091,86.31%,PLUM DIST 6,1227,968,78.89%
PLUM DIST 7,1261,1071,84.93%,PLUM DIST 7,1235,966,78.22%
PLUM DIST 8,613,509,83.03%,PLUM DIST 8,589,469,79.63%
PLUM DIST 9,1143,997,87.23%,PLUM DIST 9,1097,861,78.49%
PLUM DIST 10,611,505,82.65%,PLUM DIST 10,580,431,74.31%
PLUM DIST 11,840,715,85.12%,PLUM DIST 11,790,630,79.75%
PLUM DIST 12,1119,1000,89.37%,PLUM DIST 12,1073,905,84.34%
PLUM DIST 13,582,507,87.11%,PLUM DIST 13,569,460,80.84%
PLUM DIST 14,746,593,79.49%,PLUM DIST 14,744,533,71.64%
PLUM DIST 15,853,629,73.74%,PLUM DIST 15,810,547,67.53%
PLUM DIST 16,631,518,82.09%,PLUM DIST 16,578,451,78.03%
PLUM DIST 17,720,573,79.58%,PLUM DIST 17,706,507,71.81%
PLUM DIST 18,856,731,85.40%,PLUM DIST 18,830,664,80.00%
PLUM DIST 19,2072,1777,85.76%,PLUM DIST 19,1852,1457,78.67%
PLUM DIST 20,979,816,83.35%,PLUM DIST 20,744,562,75.54%
PLUM DIST 21,425,373,87.76%,PLUM DIST 21,414,336,81.16%
PORT VUE DIST 1,607,445,73.31%,PORT VUE DIST 1,589,385,65.37%
PORT VUE DIST 2,535,417,77.94%,PORT VUE DIST 2,556,392,70.50%
PORT VUE DIST 3,529,438,82.80%,PORT VUE DIST 3,556,432,77.70%
PORT VUE DIST 4,706,559,79.18%,PORT VUE DIST 4,695,493,70.94%
RANKIN WARD 1,358,238,66.48%,RANKIN WARD 1,366,251,68.58%
RANKIN WARD 2,401,235,58.60%,RANKIN WARD 2,433,291,67.21%
RANKIN WARD 3,603,283,46.93%,RANKIN WARD 3,627,368,58.69%
RESERVE WARD 1,539,435,80.71%,RESERVE WARD 1,512,390,76.17%
RESERVE WARD 2,572,488,85.31%,RESERVE WARD 2,567,439,77.43%
RESERVE WARD 3,542,472,87.08%,RESERVE WARD 3,530,425,80.19%
RESERVE WARD 4,856,714,83.41%,RESERVE WARD 4,846,647,76.48%
RICHLAND DIST 1,1142,986,86.34%,RICHLAND DIST 1,1057,885,83.73%
RICHLAND DIST 2,1195,999,83.60%,RICHLAND DIST 2,1116,898,80.47%
RICHLAND DIST 3,1236,1070,86.57%,RICHLAND DIST 3,1138,901,79.17%
RICHLAND DIST 4,1159,1010,87.14%,RICHLAND DIST 4,1126,914,81.17%
RICHLAND DIST 5,1038,885,85.26%,RICHLAND DIST 5,1002,818,81.64%
RICHLAND DIST 6,1130,1005,88.94%,RICHLAND DIST 6,1068,886,82.96%
RICHLAND DIST 7,1141,995,87.20%,RICHLAND DIST 7,1094,888,81.17%
RICHLAND DIST 8,854,686,80.33%,RICHLAND DIST 8,957,681,71.16%
ROBINSON DIST 1,1661,1388,83.56%,ROBINSON DIST 1,1595,1206,75.61%
ROBINSON DIST 2,1165,998,85.67%,ROBINSON DIST 2,959,753,78.52%
ROBINSON DIST 3,706,594,84.14%,ROBINSON DIST 3,689,526,76.34%
ROBINSON DIST 4,827,698,84.40%,ROBINSON DIST 4,685,493,71.97%
ROBINSON DIST 5,616,518,84.09%,ROBINSON DIST 5,609,467,76.68%
ROBINSON DIST 6,874,676,77.35%,ROBINSON DIST 6,880,619,70.34%
ROBINSON DIST 7,1391,1202,86.41%,ROBINSON DIST 7,1381,1095,79.29%
ROBINSON DIST 8,1721,1313,76.29%,ROBINSON DIST 8,1436,997,69.43%
ROBINSON DIST 9,2513,1975,78.59%,ROBINSON DIST 9,2385,1704,71.45%
ROSS WARD 1 DIST 1,778,665,85.48%,ROSS WARD 1 DIST 1,734,570,77.66%
ROSS WARD 1 DIST 2,627,532,84.85%,ROSS WARD 1 DIST 2,617,483,78.28%
ROSS WARD 1 DIST 3,524,433,82.63%,ROSS WARD 1 DIST 3,493,365,74.04%
ROSS WARD 1 DIST 4,860,724,84.19%,ROSS WARD 1 DIST 4,842,656,77.91%
ROSS WARD 2 DIST 1,1227,1001,81.58%,ROSS WARD 2 DIST 1,1148,834,72.65%
ROSS WARD 2 DIST 2,942,826,87.69%,ROSS WARD 2 DIST 2,947,775,81.84%
ROSS WARD 2 DIST 3,731,633,86.59%,ROSS WARD 2 DIST 3,707,554,78.36%
ROSS WARD 3 DIST 1,686,585,85.28%,ROSS WARD 3 DIST 1,660,521,78.94%
ROSS WARD 3 DIST 2,712,627,88.06%,ROSS WARD 3 DIST 2,686,559,81.49%
ROSS WARD 3 DIST 3,567,465,82.01%,ROSS WARD 3 DIST 3,537,399,74.30%
ROSS WARD 3 DIST 4,692,594,85.84%,ROSS WARD 3 DIST 4,685,546,79.71%
ROSS WARD 4 DIST 1,894,752,84.12%,ROSS WARD 4 DIST 1,876,695,79.34%
ROSS WARD 4 DIST 2,1043,931,89.26%,ROSS WARD 4 DIST 2,563,473,84.01%
ROSS WARD 4 DIST 3,727,640,88.03%,ROSS WARD 4 DIST 3,736,612,83.15%
ROSS WARD 4 DIST 4,781,666,85.28%,ROSS WARD 4 DIST 4,700,545,77.86%
ROSS WARD 5 DIST 1,614,530,86.32%,ROSS WARD 5 DIST 1,596,479,80.37%
ROSS WARD 5 DIST 2,422,351,83.18%,ROSS WARD 5 DIST 2,400,318,79.50%
ROSS WARD 5 DIST 3,787,638,81.07%,ROSS WARD 5 DIST 3,832,624,75.00%
ROSS WARD 5 DIST 4,748,657,87.83%,ROSS WARD 5 DIST 4,736,574,77.99%
ROSS WARD 6 DIST 1,508,417,82.09%,ROSS WARD 6 DIST 1,511,389,76.13%
ROSS WARD 6 DIST 2,978,799,81.70%,ROSS WARD 6 DIST 2,958,723,75.47%
ROSS WARD 6 DIST 3,689,555,80.55%,ROSS WARD 6 DIST 3,661,475,71.86%
ROSS WARD 6 DIST 4,600,485,80.83%,ROSS WARD 6 DIST 4,587,436,74.28%
ROSS WARD 7 DIST 1,614,533,86.81%,ROSS WARD 7 DIST 1,609,467,76.68%
ROSS WARD 7 DIST 2,591,434,73.43%,ROSS WARD 7 DIST 2,557,380,68.22%
ROSS WARD 7 DIST 3,723,619,85.62%,ROSS WARD 7 DIST 3,706,559,79.18%
ROSS WARD 7 DIST 4,598,486,81.27%,ROSS WARD 7 DIST 4,578,437,75.61%
ROSS WARD 8 DIST 1,1647,1301,78.99%,ROSS WARD 8 DIST 1,1574,1094,69.50%
ROSS WARD 8 DIST 2,516,394,76.36%,ROSS WARD 8 DIST 2,528,403,76.33%
ROSS WARD 8 DIST 3,564,492,87.23%,ROSS WARD 8 DIST 3,543,440,81.03%
ROSS WARD 9 DIST 1,832,729,87.62%,ROSS WARD 9 DIST 1,779,653,83.83%
ROSS WARD 9 DIST 2,969,827,85.35%,ROSS WARD 9 DIST 2,936,716,76.50%
ROSS WARD 9 DIST 3,785,660,84.08%,ROSS WARD 9 DIST 3,830,644,77.59%
ROSSLYN FARMS,407,357,87.71%,ROSSLYN FARM,376,321,85.37%
SCOTT WARD 1 DIST 1,602,451,74.92%,SCOTT WARD 1 DIST 1,574,393,68.47%
SCOTT WARD 1 DIST 2,670,491,73.28%,SCOTT WARD 1 DIST 2,657,436,66.36%
SCOTT WARD 2 DIST 1,474,377,79.54%,SCOTT WARD 2 DIST 1,504,379,75.20%
SCOTT WARD 2 DIST 2,669,576,86.10%,SCOTT WARD 2 DIST 2,678,556,82.01%
SCOTT WARD 3 DIST 1,534,457,85.58%,SCOTT WARD 3 DIST 1,504,404,80.16%
SCOTT WARD 3 DIST 2,742,616,83.02%,SCOTT WARD 3 DIST 2,732,551,75.27%
SCOTT WARD 4 DIST 1,780,665,85.26%,SCOTT WARD 4 DIST 1,772,626,81.09%
SCOTT WARD 4 DIST 2,652,564,86.50%,SCOTT WARD 4 DIST 2,608,490,80.59%
SCOTT WARD 5 DIST 1,616,507,82.31%,SCOTT WARD 5 DIST 1,590,439,74.41%
SCOTT WARD 5 DIST 2,740,635,85.81%,SCOTT WARD 5 DIST 2,746,589,78.95%
SCOTT WARD 6 DIST 1,686,546,79.59%,SCOTT WARD 6 DIST 1,695,490,70.50%
SCOTT WARD 6 DIST 2,820,686,83.66%,SCOTT WARD 6 DIST 2,781,601,76.95%
SCOTT WARD 7 DIST 1,892,739,82.85%,SCOTT WARD 7 DIST 1,903,676,74.86%
SCOTT WARD 7 DIST 2,638,557,87.30%,SCOTT WARD 7 DIST 2,635,512,80.63%
SCOTT WARD 8 DIST 1,531,476,89.64%,SCOTT WARD 8 DIST 1,522,417,79.89%
SCOTT WARD 8 DIST 2,1076,883,82.06%,SCOTT WARD 8 DIST 2,1018,794,78.00%
SCOTT WARD 9 DIST 1,297,205,69.02%,SCOTT WARD 9 DIST 1,313,200,63.90%
SCOTT WARD 9 DIST 2,333,258,77.48%,SCOTT WARD 9 DIST 2,350,266,76.00%
SEWICKLEY WARD 1,999,801,80.18%,SEWICKLEY WARD 1,945,698,73.86%
SEWICKLEY WARD 2 DIST 1,531,416,78.34%,SEWICKLEY WARD 2 DIST 1,500,355,71.00%
SEWICKLEY WARD 2 DIST 2,591,460,77.83%,SEWICKLEY WARD 2 DIST 2,606,431,71.12%
SEWICKLEY WARD 3,1047,837,79.94%,SEWICKLEY WARD 3,998,725,72.65%
SEWICKLEY HTS,792,633,79.92%,SEWICKLEY HTS,764,562,73.56%
SEWICKLEY HILLS,555,476,85.77%,SEWICKLEY HILLS,525,419,79.81%
SHALER WARD 1 DIST 1,534,473,88.58%,SHALER WARD 1 DIST 1,489,395,80.78%
SHALER WARD 1 DIST 2,530,429,80.94%,SHALER WARD 1 DIST 2,498,368,73.90%
SHALER WARD 1 DIST 3,595,485,81.51%,SHALER WARD 1 DIST 3,605,426,70.41%
SHALER WARD 1 DIST 4,620,549,88.55%,SHALER WARD 1 DIST 4,590,480,81.36%
SHALER WARD 1 DIST 5,665,542,81.50%,SHALER WARD 1 DIST 5,661,473,71.56%
SHALER WARD 2 DIST 1,1065,912,85.63%,SHALER WARD 2 DIST 1,1053,854,81.10%
SHALER WARD 2 DIST 2,774,681,87.98%,SHALER WARD 2 DIST 2,750,597,79.60%
SHALER WARD 2 DIST 3,610,502,82.30%,SHALER WARD 2 DIST 3,580,439,75.69%
SHALER WARD 2 DIST 4,791,700,88.50%,SHALER WARD 2 DIST 4,757,621,82.03%
SHALER WARD 2 DIST 5,364,306,84.07%,SHALER WARD 2 DIST 5,373,302,80.97%
SHALER WARD 3 DIST 1,602,521,86.54%,SHALER WARD 3 DIST 1,588,486,82.65%
SHALER WARD 3 DIST 2,617,515,83.47%,SHALER WARD 3 DIST 2,596,476,79.87%
SHALER WARD 3 DIST 3,601,514,85.52%,SHALER WARD 3 DIST 3,594,498,83.84%
SHALER WARD 3 DIST 4,718,640,89.14%,SHALER WARD 3 DIST 4,710,576,81.13%
SHALER WARD 3 DIST 5,687,601,87.48%,SHALER WARD 3 DIST 5,684,565,82.60%
SHALER WARD 4 DIST 1,845,735,86.98%,SHALER WARD 4 DIST 1,829,671,80.94%
SHALER WARD 4 DIST 2,449,378,84.19%,SHALER WARD 4 DIST 2,468,343,73.29%
SHALER WARD 4 DIST 3,680,590,86.76%,SHALER WARD 4 DIST 3,651,541,83.10%
SHALER WARD 4 DIST 4,662,572,86.40%,SHALER WARD 4 DIST 4,658,538,81.76%
SHALER WARD 4 DIST 5,533,442,82.93%,SHALER WARD 4 DIST 5,516,390,75.58%
SHALER WARD 5 DIST 1,745,641,86.04%,SHALER WARD 5 DIST 1,716,587,81.98%
SHALER WARD 5 DIST 2,693,593,85.57%,SHALER WARD 5 DIST 2,676,589,87.13%
SHALER WARD 5 DIST 3,553,496,89.69%,SHALER WARD 5 DIST 3,532,439,82.52%
SHALER WARD 5 DIST 4,358,316,88.27%,SHALER WARD 5 DIST 4,352,284,80.68%
SHALER WARD 5 DIST 5,787,668,84.88%,SHALER WARD 5 DIST 5,766,586,76.50%
SHALER WARD 6 DIST 1,645,552,85.58%,SHALER WARD 6 DIST 1,624,494,79.17%
SHALER WARD 6 DIST 2,715,606,84.76%,SHALER WARD 6 DIST 2,675,537,79.56%
SHALER WARD 6 DIST 3,559,493,88.19%,SHALER WARD 6 DIST 3,544,436,80.15%
SHALER WARD 6 DIST 4,340,312,91.76%,SHALER WARD 6 DIST 4,333,266,79.88%
SHALER WARD 6 DIST 5,545,477,87.52%,SHALER WARD 6 DIST 5,550,452,82.18%
SHALER WARD 7 DIST 1,608,518,85.20%,SHALER WARD 7 DIST 1,587,437,74.45%
SHALER WARD 7 DIST 2,796,666,83.67%,SHALER WARD 7 DIST 2,791,614,77.62%
SHALER WARD 7 DIST 3,664,541,81.48%,SHALER WARD 7 DIST 3,636,460,72.33%
SHALER WARD 7 DIST 4,1036,873,84.27%,SHALER WARD 7 DIST 4,1013,791,78.08%
SHARPSBURG DIST 1,621,427,68.76%,SHARPSBURG DIST 1,577,346,59.97%
SHARPSBURG DIST 2,854,584,68.38%,SHARPSBURG DIST 2,794,503,63.35%
SHARPSBURG DIST 3,845,644,76.21%,SHARPSBURG DIST 3,853,553,64.83%
S FAYETTE DIST 1,589,516,87.61%,S FAYETTE DIST 1,558,472,84.59%
S FAYETTE DIST 2,1143,969,84.78%,S FAYETTE DIST 2,1078,861,79.87%
S FAYETTE DIST 3,1792,1536,85.71%,S FAYETTE DIST 3,1432,1125,78.56%
S FAYETTE DIST 4,874,721,82.49%,S FAYETTE DIST 4,852,642,75.35%
S FAYETTE DIST 5,910,773,84.95%,S FAYETTE DIST 5,830,630,75.90%
S FAYETTE DIST 6,1243,1003,80.69%,S FAYETTE DIST 6,1188,885,74.49%
S FAYETTE DIST 7,679,567,83.51%,S FAYETTE DIST 7,627,471,75.12%
S FAYETTE DIST 8,1577,1391,88.21%,S FAYETTE DIST 8,1480,1187,80.20%
S FAYETTE DIST 9,691,478,69.18%,S FAYETTE DIST 9,651,436,66.97%
S FAYETTE DIST 10,792,663,83.71%,S FAYETTE DIST 10,787,577,73.32%
S FAYETTE DIST 11,1066,878,82.36%,S FAYETTE DIST 11,919,711,77.37%
S FAYETTE DIST 12,680,567,83.38%,S FAYETTE DIST 12,485,325,67.01%
SOUTH PARK DIST 1,775,672,86.71%,SOUTH PARK DIST 1,726,587,80.85%
SOUTH PARK DIST 2,800,656,82.00%,SOUTH PARK DIST 2,761,590,77.53%
SOUTH PARK DIST 3,674,564,83.68%,SOUTH PARK DIST 3,606,477,78.71%
SOUTH PARK DIST 4,582,465,79.90%,SOUTH PARK DIST 4,466,326,69.96%
SOUTH PARK DIST 5,766,660,86.16%,SOUTH PARK DIST 5,746,590,79.09%
SOUTH PARK DIST 6,928,731,78.77%,SOUTH PARK DIST 6,861,662,76.89%
SOUTH PARK DIST 7,1115,943,84.57%,SOUTH PARK DIST 7,1101,856,77.75%
SOUTH PARK DIST 8,528,459,86.93%,SOUTH PARK DIST 8,512,434,84.77%
SOUTH PARK DIST 9,839,684,81.53%,SOUTH PARK DIST 9,807,615,76.21%
SOUTH PARK DIST 10,887,761,85.79%,SOUTH PARK DIST 10,844,672,79.62%
SOUTH PARK DIST 11,585,464,79.32%,SOUTH PARK DIST 11,596,430,72.15%
SOUTH PARK DIST 12,603,516,85.57%,SOUTH PARK DIST 12,569,427,75.04%
SOUTH PARK DIST 13,1074,941,87.62%,SOUTH PARK DIST 13,1001,806,80.52%
S VERSAILLES,215,191,88.84%,S VERSAILLES,209,158,75.60%
SPRINGDAL BR DIST 1,699,537,76.82%,SPRINGDAL BR DIST 1,696,501,71.98%
SPRINGDAL BR DIST 2,619,526,84.98%,SPRINGDAL BR DIST 2,593,445,75.04%
SPRINGDAL BR DIST 3,570,439,77.02%,SPRINGDAL BR DIST 3,522,373,71.46%
SPRINGDAL BR DIST 4,485,372,76.70%,SPRINGDAL BR DIST 4,438,321,73.29%
SPRINGDALE TWP,1192,990,83.05%,SPRINGDALE TWP,1161,886,76.31%
STOWE WARD 1,422,287,68.01%,STOWE WARD 1,416,276,66.35%
STOWE WARD 2 DIST 1,180,101,56.11%,STOWE WARD 2 DIST 1,184,97,52.72%
STOWE WARD 2 DIST 2,668,466,69.76%,STOWE WARD 2 DIST 2,695,479,68.92%
STOWE WARD 3,364,232,63.74%,STOWE WARD 3,388,237,61.08%
STOWE WARD 4 DIST 1,340,261,76.76%,STOWE WARD 4 DIST 1,382,234,61.26%
STOWE WARD 4 DIST 2,382,323,84.55%,STOWE WARD 4 DIST 2,367,289,78.75%
STOWE WARD 5,456,283,62.06%,STOWE WARD 5,505,304,60.20%
STOWE WARD 6,437,256,58.58%,STOWE WARD 6,467,264,56.53%
STOWE WARD 7,298,171,57.38%,STOWE WARD 7,295,172,58.31%
STOWE WARD 8,410,204,49.76%,STOWE WARD 8,436,212,48.62%
STOWE WARD 9,303,177,58.42%,STOWE WARD 9,334,181,54.19%
SWISSVALE DIST 1,872,559,64.11%,SWISSVALE DIST 1,910,552,60.66%
SWISSVALE DIST 2,758,515,67.94%,SWISSVALE DIST 2,752,508,67.55%
SWISSVALE DIST 3,662,442,66.77%,SWISSVALE DIST 3,691,419,60.64%
SWISSVALE DIST 4,626,441,70.45%,SWISSVALE DIST 4,631,437,69.26%
SWISSVALE DIST 5,762,580,76.12%,SWISSVALE DIST 5,758,549,72.43%
SWISSVALE DIST 6,399,243,60.90%,SWISSVALE DIST 6,403,253,62.78%
SWISSVALE DIST 7,694,554,79.83%,SWISSVALE DIST 7,663,481,72.55%
SWISSVALE DIST 8,719,508,70.65%,SWISSVALE DIST 8,734,508,69.21%
SWISSVALE DIST 9,680,509,74.85%,SWISSVALE DIST 9,652,478,73.31%
SWISSVALE DIST 10,250,158,63.20%,SWISSVALE DIST 10,233,143,61.37%
SWISSVALE DIST 11,696,577,82.90%,SWISSVALE DIST 11,675,546,80.89%
TARENTUM WARD 1 DIST 1,657,480,73.06%,TARENTUM WARD 1 DIST 1,669,407,60.84%
TARENTUM WARD 1 DIST 2,476,378,79.41%,TARENTUM WARD 1 DIST 2,479,346,72.23%
TARENTUM WARD 2,562,359,63.88%,TARENTUM WARD 2,529,302,57.09%
TARENTUM WARD 3 DIST 1,278,203,73.02%,TARENTUM WARD 3 DIST 1,303,176,58.09%
