Precinct 2020,Registered Voters Ballots Cast Voter Turnout 2020,Ballots Cast 2020,Voter 2020,Precinct 2016,Registered Voters Ballots Cast Voter Turnout 2016,Ballots Cast 2016,Voter 2016
PITTSBURGH WARD 14 DIST 31,1194,952,79.73%,PITTSBURGH WRD 14 DIST 31,1049,846,80.65%
PITTSBURGH WARD 14 DIST 32,791,529,66.88%,PITTSBURGH WRD 14 DIST 32,769,482,62.68%
PITTSBURGH WARD 14 DIST 33,845,596,70.53%,PITTSBURGH WRD 14 DIST 33,807,524,64.93%
PITTSBURGH WARD 14 DIST 34,902,603,66.85%,PITTSBURGH WRD 14 DIST 34,854,536,62.76%
PITTSBURGH WARD 14 DIST 35,611,435,71.19%,PITTSBURGH WRD 14 DIST 35,621,407,65.54%
PITTSBURGH WARD 14 DIST 36,821,517,62.97%,PITTSBURGH WRD 14 DIST 36,866,569,65.70%
PITTSBURGH WARD 14 DIST 37,639,448,70.11%,PITTSBURGH WRD 14 DIST 37,655,425,64.89%
PITTSBURGH WARD 14 DIST 38,586,429,73.21%,PITTSBURGH WRD 14 DIST 38,583,383,65.69%
PITTSBURGH WARD 14 DIST 39,653,490,75.04%,PITTSBURGH WRD 14 DIST 39,575,403,70.09%
PITTSBURGH WARD 14 DIST 40,598,422,70.57%,PITTSBURGH WRD 14 DIST 40,528,335,63.45%
PITTSBURGH WARD 14 DIST 41,79,64,81.01%,PITTSBURGH WRD 14 DIST 41,93,51,54.84%
PITTSBURGH WARD 15 DIST 1,619,425,68.66%,PITTSBURGH WARD 15 DIST 1,636,404,63.52%
PITTSBURGH WARD 15 DIST 2,748,544,72.73%,PITTSBURGH WARD 15 DIST 2,731,532,72.78%
PITTSBURGH WARD 15 DIST 3,644,491,76.24%,PITTSBURGH WARD 15 DIST 3,613,424,69.17%
PITTSBURGH WARD 15 DIST 4,655,518,79.08%,PITTSBURGH WARD 15 DIST 4,628,468,74.52%
PITTSBURGH WARD 15 DIST 5,567,424,74.78%,PITTSBURGH WARD 15 DIST 5,543,376,69.24%
PITTSBURGH WARD 15 DIST 6,533,435,81.61%,PITTSBURGH WARD 15 DIST 6,549,408,74.32%
PITTSBURGH WARD 15 DIST 7,708,560,79.10%,PITTSBURGH WARD 15 DIST 7,684,516,75.44%
PITTSBURGH WARD 15 DIST 8,615,494,80.33%,PITTSBURGH WARD 15 DIST 8,636,448,70.44%
PITTSBURGH WARD 15 DIST 9,171,131,76.61%,PITTSBURGH WARD 15 DIST 9,175,116,66.29%
PITTSBURGH WARD 15 DIST 10,636,502,78.93%,PITTSBURGH WRD 15 DIST 10,623,469,75.28%
PITTSBURGH WARD 15 DIST 11,574,444,77.35%,PITTSBURGH WRD 15 DIST 11,582,415,71.31%
PITTSBURGH WARD 15 DIST 12,486,376,77.37%,PITTSBURGH WRD 15 DIST 12,484,343,70.87%
PITTSBURGH WARD 15 DIST 13,462,261,56.49%,PITTSBURGH WRD 15 DIST 13,452,271,59.96%
PITTSBURGH WARD 15 DIST 14,280,180,64.29%,PITTSBURGH WRD 15 DIST 14,338,188,55.62%
PITTSBURGH WARD 15 DIST 15,372,202,54.30%,PITTSBURGH WRD 15 DIST 15,378,217,57.41%
PITTSBURGH WARD 15 DIST 16,522,359,68.77%,PITTSBURGH WRD 15 DIST 16,559,386,69.05%
PITTSBURGH WARD 15 DIST 17,25,15,60.00%,PITTSBURGH WRD 15 DIST 17,35,22,62.86%
PITTSBURGH WARD 15 DIST 18,535,345,64.49%,PITTSBURGH WRD 15 DIST 18,571,357,62.52%
PITTSBURGH WARD 15 DIST 19,435,219,50.34%,PITTSBURGH WRD 15 DIST 19,515,277,53.79%
PITTSBURGH WARD 16 DIST 1,942,641,68.05%,PITTSBURGH WARD 16 DIST 1,810,469,57.90%
PITTSBURGH WARD 16 DIST 2,1266,833,65.80%,PITTSBURGH WARD 16 DIST 2,1131,683,60.39%
PITTSBURGH WARD 16 DIST 3,952,668,70.17%,PITTSBURGH WARD 16 DIST 3,829,528,63.69%
PITTSBURGH WARD 16 DIST 4,432,291,67.36%,PITTSBURGH WARD 16 DIST 4,429,261,60.84%
PITTSBURGH WARD 16 DIST 5,635,470,74.02%,PITTSBURGH WARD 16 DIST 5,580,381,65.69%
PITTSBURGH WARD 16 DIST 6,526,385,73.19%,PITTSBURGH WARD 16 DIST 6,472,349,73.94%
PITTSBURGH WARD 16 DIST 7,410,275,67.07%,PITTSBURGH WARD 16 DIST 7,416,248,59.62%
PITTSBURGH WARD 16 DIST 8,171,57,33.33%,PITTSBURGH WARD 16 DIST 8,191,108,56.54%
PITTSBURGH WARD 16 DIST 9,479,330,68.89%,PITTSBURGH WARD 16 DIST 9,536,322,60.07%
PITTSBURGH WARD 16 DIST 10,382,271,70.94%,PITTSBURGH WRD 16 DIST 10,399,243,60.90%
PITTSBURGH WARD 16 DIST 11,416,270,64.90%,PITTSBURGH WRD 16 DIST 11,392,259,66.07%
PITTSBURGH WARD 17 DIST 1,264,179,67.80%,PITTSBURGH WARD 17 DIST 1,191,82,42.93%
PITTSBURGH WARD 17 DIST 2,881,572,64.93%,PITTSBURGH WARD 17 DIST 2,849,529,62.31%
PITTSBURGH WARD 17 DIST 3,606,451,74.42%,PITTSBURGH WARD 17 DIST 3,659,417,63.28%
PITTSBURGH WARD 17 DIST 4,813,597,73.43%,PITTSBURGH WARD 17 DIST 4,784,533,67.98%
PITTSBURGH WARD 17 DIST 5,623,433,69.50%,PITTSBURGH WARD 17 DIST 5,586,385,65.70%
PITTSBURGH WARD 17 DIST 6,444,286,64.41%,PITTSBURGH WARD 17 DIST 6,474,286,60.34%
PITTSBURGH WARD 17 DIST 7,400,284,71.00%,PITTSBURGH WARD 17 DIST 7,415,265,63.86%
PITTSBURGH WARD 17 DIST 8,439,311,70.84%,PITTSBURGH WARD 17 DIST 8,450,265,58.89%
PITTSBURGH WARD 18 DIST 1,575,469,81.57%,PITTSBURGH WARD 18 DIST 1,585,441,75.38%
PITTSBURGH WARD 18 DIST 2,414,247,59.66%,PITTSBURGH WARD 18 DIST 2,447,287,64.21%
PITTSBURGH WARD 18 DIST 3,365,236,64.66%,PITTSBURGH WARD 18 DIST 3,386,249,64.51%
PITTSBURGH WARD 18 DIST 4,435,273,62.76%,PITTSBURGH WARD 18 DIST 4,471,275,58.39%
PITTSBURGH WARD 18 DIST 5,950,694,73.05%,PITTSBURGH WARD 18 DIST 5,946,645,68.18%
PITTSBURGH WARD 18 DIST 6,376,230,61.17%,PITTSBURGH WARD 18 DIST 6,383,215,56.14%
PITTSBURGH WARD 18 DIST 7,469,322,68.66%,PITTSBURGH WARD 18 DIST 7,436,284,65.14%
PITTSBURGH WARD 18 DIST 8,266,156,58.65%,PITTSBURGH WARD 18 DIST 8,255,143,56.08%
PITTSBURGH WARD 18 DIST 9,687,380,55.31%,PITTSBURGH WARD 18 DIST 9,692,380,54.91%
PITTSBURGH WARD 18 DIST 10,65,45,69.23%,PITTSBURGH WRD 18 DIST 10,84,54,64.29%
PITTSBURGH WARD 18 DIST 11,566,346,61.13%,PITTSBURGH WRD 18 DIST 11,599,356,59.43%
PITTSBURGH WARD 19 DIST 1,543,446,82.14%,PITTSBURGH WARD 19 DIST 1,548,399,72.81%
PITTSBURGH WARD 19 DIST 2,712,501,70.37%,PITTSBURGH WARD 19 DIST 2,678,450,66.37%
PITTSBURGH WARD 19 DIST 3,563,429,76.20%,PITTSBURGH WARD 19 DIST 3,547,405,74.04%
PITTSBURGH WARD 19 DIST 4,411,317,77.13%,PITTSBURGH WARD 19 DIST 4,409,287,70.17%
PITTSBURGH WARD 19 DIST 5,465,358,76.99%,PITTSBURGH WARD 19 DIST 5,431,305,70.77%
PITTSBURGH WARD 19 DIST 6,553,435,78.66%,PITTSBURGH WARD 19 DIST 6,511,354,69.28%
PITTSBURGH WARD 19 DIST 7,225,154,68.44%,PITTSBURGH WARD 19 DIST 7,234,160,68.38%
PITTSBURGH WARD 19 DIST 8,576,415,72.05%,PITTSBURGH WARD 19 DIST 8,576,372,64.58%
PITTSBURGH WARD 19 DIST 9,570,391,68.60%,PITTSBURGH WARD 19 DIST 9,552,354,64.13%
PITTSBURGH WARD 19 DIST 10,696,461,66.24%,PITTSBURGH WRD 19 DIST 10,681,418,61.38%
PITTSBURGH WARD 19 DIST 11,523,317,60.61%,PITTSBURGH WRD 19 DIST 11,487,283,58.11%
PITTSBURGH WARD 19 DIST 12,429,376,87.65%,PITTSBURGH WRD 19 DIST 12,435,330,75.86%
PITTSBURGH WARD 19 DIST 13,491,319,64.97%,PITTSBURGH WRD 19 DIST 13,477,293,61.43%
PITTSBURGH WARD 19 DIST 14,565,386,68.32%,PITTSBURGH WRD 19 DIST 14,572,359,62.76%
PITTSBURGH WARD 19 DIST 15,639,467,73.08%,PITTSBURGH WRD 19 DIST 15,628,440,70.06%
PITTSBURGH WARD 19 DIST 16,604,459,75.99%,PITTSBURGH WRD 19 DIST 16,575,401,69.74%
PITTSBURGH WARD 19 DIST 17,553,438,79.20%,PITTSBURGH WRD 19 DIST 17,582,401,68.90%
PITTSBURGH WARD 19 DIST 18,456,313,68.64%,PITTSBURGH WRD 19 DIST 18,485,324,66.80%
PITTSBURGH WARD 19 DIST 19,532,394,74.06%,PITTSBURGH WRD 19 DIST 19,528,359,67.99%
PITTSBURGH WARD 19 DIST 20,514,417,81.13%,PITTSBURGH WRD 19 DIST 20,514,371,72.18%
PITTSBURGH WARD 19 DIST 21,673,480,71.32%,PITTSBURGH WRD 19 DIST 21,629,419,66.61%
PITTSBURGH WARD 19 DIST 22,558,438,78.49%,PITTSBURGH WRD 19 DIST 22,549,409,74.50%
PITTSBURGH WARD 19 DIST 23,592,446,75.34%,PITTSBURGH WRD 19 DIST 23,626,411,65.65%
PITTSBURGH WARD 19 DIST 24,475,357,75.16%,PITTSBURGH WRD 19 DIST 24,516,362,70.16%
PITTSBURGH WARD 19 DIST 25,540,438,81.11%,PITTSBURGH WRD 19 DIST 25,536,397,74.07%
PITTSBURGH WARD 19 DIST 26,481,360,74.84%,PITTSBURGH WRD 19 DIST 26,478,337,70.50%
PITTSBURGH WARD 19 DIST 27,474,349,73.63%,PITTSBURGH WRD 19 DIST 27,464,318,68.53%
PITTSBURGH WARD 19 DIST 28,627,556,88.68%,PITTSBURGH WRD 19 DIST 28,646,527,81.58%
PITTSBURGH WARD 19 DIST 29,499,405,81.16%,PITTSBURGH WRD 19 DIST 29,512,366,71.48%
PITTSBURGH WARD 19 DIST 30,532,445,83.65%,PITTSBURGH WRD 19 DIST 30,536,392,73.13%
PITTSBURGH WARD 19 DIST 31,491,406,82.69%,PITTSBURGH WRD 19 DIST 31,504,365,72.42%
PITTSBURGH WARD 19 DIST 32,535,434,81.12%,PITTSBURGH WRD 19 DIST 32,518,373,72.01%
PITTSBURGH WARD 19 DIST 33,465,384,82.58%,PITTSBURGH WRD 19 DIST 33,464,333,71.77%
PITTSBURGH WARD 19 DIST 34,540,432,80.00%,PITTSBURGH WRD 19 DIST 34,511,375,73.39%
PITTSBURGH WARD 19 DIST 35,545,418,76.70%,PITTSBURGH WRD 19 DIST 35,504,361,71.63%
PITTSBURGH WARD 19 DIST 36,682,549,80.50%,PITTSBURGH WRD 19 DIST 36,656,482,73.48%
PITTSBURGH WARD 19 DIST 37,449,367,81.74%,PITTSBURGH WRD 19 DIST 37,450,331,73.56%
PITTSBURGH WARD 19 DIST 38,575,426,74.09%,PITTSBURGH WRD 19 DIST 38,506,344,67.98%
PITTSBURGH WARD 20 DIST 1,614,489,79.64%,PITTSBURGH WARD 20 DIST 1,625,452,72.32%
PITTSBURGH WARD 20 DIST 2,234,179,76.50%,PITTSBURGH WARD 20 DIST 2,225,151,67.11%
PITTSBURGH WARD 20 DIST 3,700,566,80.86%,PITTSBURGH WARD 20 DIST 3,708,499,70.48%
PITTSBURGH WARD 20 DIST 4,70,45,64.29%,PITTSBURGH WARD 20 DIST 4,59,39,66.10%
PITTSBURGH WARD 20 DIST 5,571,424,74.26%,PITTSBURGH WARD 20 DIST 5,578,357,61.76%
PITTSBURGH WARD 20 DIST 6,540,342,63.33%,PITTSBURGH WARD 20 DIST 6,553,320,57.87%
PITTSBURGH WARD 20 DIST 7,694,409,58.93%,PITTSBURGH WARD 20 DIST 7,680,420,61.76%
PITTSBURGH WARD 20 DIST 8,711,500,70.32%,PITTSBURGH WARD 20 DIST 8,735,490,66.67%
PITTSBURGH WARD 20 DIST 9,205,131,63.90%,PITTSBURGH WARD 20 DIST 9,206,123,59.71%
PITTSBURGH WARD 20 DIST 10,643,387,60.19%,PITTSBURGH WRD 20 DIST 10,643,368,57.23%
PITTSBURGH WARD 20 DIST 11,705,385,54.61%,PITTSBURGH WRD 20 DIST 11,696,451,64.80%
PITTSBURGH WARD 20 DIST 12,927,625,67.42%,PITTSBURGH WRD 20 DIST 12,934,613,65.63%
PITTSBURGH WARD 20 DIST 13,437,315,72.08%,PITTSBURGH WRD 20 DIST 13,471,319,67.73%
PITTSBURGH WARD 20 DIST 14,875,612,69.94%,PITTSBURGH WRD 20 DIST 14,864,562,65.05%
PITTSBURGH WARD 20 DIST 15,934,646,69.16%,PITTSBURGH WRD 20 DIST 15,909,549,60.40%
PITTSBURGH WARD 20 DIST 16,640,524,81.88%,PITTSBURGH WRD 20 DIST 16,654,484,74.01%
PITTSBURGH WARD 20 DIST 17,436,364,83.49%,PITTSBURGH WRD 20 DIST 17,436,347,79.59%
PITTSBURGH WARD 20 DIST 18,489,408,83.44%,PITTSBURGH WRD 20 DIST 18,514,382,74.32%
PITTSBURGH WARD 21 DIST 1,463,275,59.40%,PITTSBURGH WRD 21 DIST 1,485,283,58.35%
PITTSBURGH WARD 21 DIST 2,455,327,71.87%,PITTSBURGH WARD 21 DIST 2,476,311,65.34%
PITTSBURGH WARD 21 DIST 3,654,457,69.88%,PITTSBURGH WARD 21 DIST 3,674,462,68.55%
PITTSBURGH WARD 21 DIST 4,584,424,72.60%,PITTSBURGH WARD 21 DIST 4,620,400,64.52%
PITTSBURGH WARD 22 DIST 1,732,538,73.50%,PITTSBURGH WARD 22 DIST 1,713,496,69.57%
PITTSBURGH WARD 22 DIST 2,673,510,75.78%,PITTSBURGH WARD 22 DIST 2,672,467,69.49%
PITTSBURGH WARD 22 DIST 3,696,498,71.55%,PITTSBURGH WARD 22 DIST 3,682,442,64.81%
PITTSBURGH WARD 22 DIST 4,892,512,57.40%,PITTSBURGH WARD 22 DIST 4,807,472,58.49%
PITTSBURGH WARD 23 DIST 1,1257,838,66.67%,PITTSBURGH WARD 23 DIST 1,1156,673,58.22%
PITTSBURGH WARD 23 DIST 2,794,550,69.27%,PITTSBURGH WARD 23 DIST 2,830,482,58.07%
PITTSBURGH WARD 23 DIST 3,419,248,59.19%,PITTSBURGH WARD 23 DIST 3,393,201,51.15%
PITTSBURGH WARD 24 DIST 1,432,309,71.53%,PITTSBURGH WARD 24 DIST 1,433,261,60.28%
PITTSBURGH WARD 24 DIST 2,430,326,75.81%,PITTSBURGH WARD 24 DIST 2,435,282,64.83%
PITTSBURGH WARD 24 DIST 3,349,218,62.46%,PITTSBURGH WARD 24 DIST 3,374,238,63.64%
PITTSBURGH WARD 24 DIST 4,594,448,75.42%,PITTSBURGH WARD 24 DIST 4,610,408,66.89%
PITTSBURGH WARD 24 DIST 5,515,336,65.24%,PITTSBURGH WARD 24 DIST 5,521,301,57.77%
PITTSBURGH WARD 24 DIST 6,538,404,75.09%,PITTSBURGH WARD 24 DIST 6,556,354,63.67%
PITTSBURGH WARD 25 DIST 1,459,334,72.77%,PITTSBURGH WARD 25 DIST 1,490,316,64.49%
PITTSBURGH WARD 25 DIST 2,422,277,65.64%,PITTSBURGH WARD 25 DIST 2,408,247,60.54%
PITTSBURGH WARD 25 DIST 3,559,369,66.01%,PITTSBURGH WARD 25 DIST 3,558,398,71.33%
PITTSBURGH WARD 25 DIST 4,308,170,55.19%,PITTSBURGH WARD 25 DIST 4,355,190,53.52%
PITTSBURGH WARD 25 DIST 5,369,242,65.58%,PITTSBURGH WARD 25 DIST 5,374,221,59.09%
PITTSBURGH WARD 25 DIST 6,365,176,48.22%,PITTSBURGH WARD 25 DIST 6,395,232,58.73%
PITTSBURGH WARD 25 DIST 7,401,295,73.57%,PITTSBURGH WARD 25 DIST 7,435,297,68.28%
PITTSBURGH WARD 26 DIST 1,541,359,66.36%,PITTSBURGH WARD 26 DIST 1,543,337,62.06%
PITTSBURGH WARD 26 DIST 2,442,277,62.67%,PITTSBURGH WARD 26 DIST 2,457,259,56.67%
PITTSBURGH WARD 26 DIST 3,438,307,70.09%,PITTSBURGH WARD 26 DIST 3,456,288,63.16%
